"Filmtitel","Szene","Szenenbeschreibung","Drehort","Drehortbeschreibung","Längengrad (Drehort)","Breitengrad (Drehort)","Szenenort","Längengrad (Szenenort)","Breitengrad (Szenenort)","Zeit im Film (sek)","Zeit (chronologisch)","Figuren","Links","Quelle","Anmerkung",
"Age of Ultron","A2-1A","Die Avengers schalten den Rest von HYDRAs Streitkräften in der Nähe ihrer Heimatbasis in Sokovia aus.","Bourne Woods, Tilford Rd, Farnham, England GU10 3RW, United Kingdom",,"51.19289380732606","-0.7711367791992004","Sokovischer Wald","null","null",00:00:50,2015,"Clint Barton als Hawkeye / Tony Stark als Tony Stark als Iron Man / Steve Rogers als Captain America / Natascha Romanow als Black Widow / The Bruce Banner als Hulk / Thor",,"https://mculocationscout.com/2020/08/09/sokovian-woods-mcu-location-scout/","fiktiver Ort",
"Age of Ultron","A2-1B","HYDRA führt seine Experimente mit Lokis Zepter in einem alten Schloss in Sokovia durch.","Fort Bard, Italy","Die Burg Fort Bard in Italien wurde für die Außenaufnahmen verwendet.","45.608475766257","7.744776327306901","Hydra Basis (außen)","null","null",00:01:51,2015,"Clint Barton als Hawkeye / Pietro Maximoff als Quicksilver",,"https://mculocationscout.com/2020/08/09/hydra-research-facility-sokovia-mcu-location-scout/",,
"Age of Ultron","A2-1C","Bevor die Avengers den HYDRA-Führer Baron Strucker aufhalten können, beginnt er, alle seine Daten über die Experimente, die HYDRA durchgeführt hat, zu löschen.","Dover Castle, United Kingdom","Der Große Turm und die Tunnel unter Dover Castle wurden für die Innenräume der HYDRA-Einrichtung verwendet.","51.12890564175756","1.3233909986225632","Hydra Basis (innen)","null","null",00:02:56,2015,"Clint Barton als Hawkeye / Tony Stark als Tony Stark als Iron Man / Steve Rogers als Captain America / Natascha Romanow als Black Widow / The Bruce Banner als Hulk / Thor / Tony Stark als Tony Stark als Iron Man / Baron Strucker",,"https://mculocationscout.com/2020/08/09/hydra-research-facility-sokovia-mcu-location-scout/",,
"Age of Ultron","A2-1D","Eine Drohne der Iron Legion landet in Sokovia. Die Bewohner wehren sich und bewerfen die Maschinen mit Steinen und Säure.","Aosta Valley, Italy",,"45.59958970115017","7.798214828406501","Sokovische Straße","null","null",00:03:51,2015,,,"https://mculocationscout.com/2020/08/09/novi-grad-square-sokovia-mcu-location-scout/",,
"Age of Ultron","A2-1E","Die Iron Legion kommt, um die Zivilisten während der Bombardierung der Stadt durch HYDRA zu beruhigen.","Lismore Blv, London, United Kingdom","Gedreht wurde im Metropolitan Police Training Centre am Lismore Blv. Auf einer Seite des Ausbildungszentrums stand eine Statue von Sir Robert Peele, die nicht bewegt werden konnte. Auf dieser Seite des Zentrums befanden sich auch die Kulissen für das Rettungsboot und die Brücke. Auf der anderen Seite des Geländes wurden zwei Statuen und ein Kiosk gebaut sowie die Kirche, in der der letzte Kampf zwischen den Avengers und Ultron stattfand.","51.59292396582391","-0.24021191534307765","Novi Grad Square, Sokovia","null","null",00:04:08,2015,,,"https://mculocationscout.com/2020/08/09/novi-grad-square-sokovia-mcu-location-scout/",,
"Age of Ultron","A2-1F","Hawkeye stößt auf einen Bunker. Überraschenderweise bringen seine Pfeile ihn jedoch nicht zur Explosion.","Hawley Lake, Camberley, England GU17 9HT, United Kingdom",,"51.31618303722265","-0.7812704316923468","Sokovischer Wald","null","null",00:05:00,2015,"Clint Barton als Hawkeye / Tony Stark als Tony Stark als Iron Man / Steve Rogers als Captain America / Natascha Romanow als Black Widow / The Bruce Banner als Hulk / Thor",,"https://mculocationscout.com/2020/08/09/sokovian-woods-mcu-location-scout/","fiktiver Ort",
"Age of Ultron","A2-1G","Iron Man deaktiviert das Schutzschild der HYDRA-Basis.","Fort Bard, Italy","Die Burg Fort Bard in Italien wurde für die Außenaufnahmen verwendet.","45.608475766257","7.744776327306901","Hydra Basis (außen)","null","null",00:06:10,2015,"Tony Stark als Tony Stark als Iron Man",,,,
"Age of Ultron","A2-1H","Iron Man versucht die Daten der HDRA zu kopieren.","Dover Castle, United Kingdom","Der Große Turm und die Tunnel unter Dover Castle wurden für die Innenräume der HYDRA-Einrichtung verwendet.","51.12890564175756","1.3233909986225632","Hydra Basis (innen)","null","null",00:07:10,2015,"Tony Stark als Tony Stark als Iron Man",,,,
"Age of Ultron","A2-1I","Der Rest der Avengers kümmert sich um die Soldaten der HYDRA im Wald. Black Widow versucht Hulk zu beruhigen.","Bourne Woods, Tilford Rd, Farnham, England GU10 3RW, United Kingdom",,"51.19289380732606","-0.7711367791992004","Sokovischer Wald","null","null",00:07:40,2015,"Clint Barton als Hawkeye / Steve Rogers als Captain America / Natascha Romanow als Black Widow / Thor",,,,
"Age of Ultron","A2-1J","Während Captain America Strucker überwältigt, dringt Iron Man weiter in die Forschungseinrichtung ein und entdeckt das Zepter.","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Es ist anzunehmen, dass es sich hierbei um Studioaufnahmen handelt.","51.40797670356879","-0.46609220136945423","Hydra Basis (innen)","null","null",00:09:43,2015,"Clint Barton als Hawkeye / Tony Stark als Tony Stark als Iron Man / Steve Rogers als Captain America / Natascha Romanow als Black Widow / The Bruce Banner als Hulk / Thor / Wanda Maximoff als Scarlet Witch / Pietro Maximoff als Quicksilver",,,,
