Szenen-ID,Szenenbeschreibung,Drehort,Drehortbeschreibung,Breitengrad (Drehort),Längengrad (Drehort),Szenenort,Längengrad (Szenenort),Breitengrad (Szenenort),Zeit im Film (sek),Zeit (chronologisch),Figuren,Links,Quelle,Anmerkung
A3-1,"Thanos und seine Handlanger befallen das Schiff der Asgardianer, die zum großen Teil getötet werden. Hulk kämpft gegen Thanos, jedoch erfolglos. Heimdall befördert Hulk auf die Erde. Thanos erhält den Tesserakt und somit den Raum Infinity Stein. Loki und Heimdall werden getötet.","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,"im All auf dem Schiff der Asgardianer; ""22 jump points from Askard""",null,null,00:00:25,2018,Heimdall/ Ebony Maw/ Loki/ Thanos/ Thor/ Thanos Handlager/ Leichen von Asgard/ Bruce Banner als Hulk,null,null,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-2A,Hulk wird mit dem Bifröst zurück auf die Erde befördert.,"Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,All,null,null,00:10:16,2018,Bruce Banner als Hulk,null,null,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-2B,Hulk kommt mit dem Bifröst über New York an.,"Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,New York,null,null,00:10:27,2018,Bruce Banner als Hulk,null,null,"Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-3,"Dr. Strange und Wong unterhalten sich, als Hulk/Banner auf den Treppen des New York Sanctums aufschlägt. Er kündigt an, dass Thanos bald kommt.","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,"Sanctum Sanctorum, 177A Bleecker Street, New York, NY 10012, United States",40.72911010071466,-74.00061971555814,00:10:35,2018,Stephen Strange als Dr. Strange/ Wong/ Bruce Banner als Hulk/ Bruce Banner,"https://marvelcinematicuniverse.fandom.com/wiki/New_York_Sanctum, https://www.setdecorators.org/?name=AVENGERS-INFINITY-WAR&art=setdecor_awards_detail&SHOW=SetDecor_Film_Avengers_I_W, https://en.wikipedia.org/wiki/Trilith_Studios","Marvel Cinematic Universe Wiki, Setdecor, Wikipedia","""The physical set from the DR STRANGE film was shipped to Georgia from London and rebuilt, reconfigured, repainted."" - Setdecor"
A3-4,"Tony Stark fragt Pepper Potts, ob sie schwanger sei. Sie diskutieren über ihre gemeinsame Zukunft. Dr. Strange und Bruce Banner tauchen auf und suchen Stark auf. Sie bitten ihn um seine Hilfe.","Piedmont Park,
1320 Monroe Dr NE, Atlanta, GA 30306, United States",Park im Nordosten Atlanta.,33.78630070557729,-84.37764637607489,"Central Park, New York","40.78241186820291, ",-73.96048447977054,00:11:26,2018,Tony Stark/ Pepper Potts,"https://www.filmtourismus.de/avengers-infinity-war/, https://mculocationscout.com/2020/09/16/central-park-new-york-mcu-location-scout-2/","Filmtourismus, MCU Location Scout","""The actual footage was filmed in Atlanta’s Piedmont Park, looking out over the soccer fields, which were digitally replaced with imagery of the Jackie Onassis Reservoir and the New York skyline."" - MCU Location Scout"
A3-5A,"Wong und Dr. Strange erklären Bruce Banner und Tony Stark die Entstehung der Infinity Steine und ihre Fähigkeiten. Sie erklären Stark auch, welche Gefahr Thanos darstellt. Strange trägt den Zeit Stein. Vision hat den Gedanken Stein. Um ihn zu finden, muss Stark Steve Rogers kontaktieren. ","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,"Sanctum Sanctorum, 177A Bleecker Street, New York, NY 10012, United States",40.72911010071466,-74.00061971555814,00:13:18,2018,Tony Stark/ Wong/ Bruce Banner/ Stephen Strange als Dr. Strange,"https://marvelcinematicuniverse.fandom.com/wiki/New_York_Sanctum, https://www.setdecorators.org/?name=AVENGERS-INFINITY-WAR&art=setdecor_awards_detail&SHOW=SetDecor_Film_Avengers_I_W, https://en.wikipedia.org/wiki/Trilith_Studios","Marvel Cinematic Universe Wiki, Setdecor, Wikipedia","""The physical set from the DR STRANGE film was shipped to Georgia from London and rebuilt, reconfigured, repainted."" - Setdecor"
A3-5B,"Draußen beginnt mit der Ankunft eines Raumschiffs der Ausnahmezustand. Tony Stark, Dr. Strange, Bruce Banner und Wong verlassen das New York Sanctum, um draußen nach dem Rechten zu sehen.","Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,"Bleecker St, New York, NY 10012, United States",40.7281049092277,-73.99900289179449,00:17:34,2018,Tony Stark/ Stephen Strange als Dr. Strange/ Wong/ Bruce Banner,"https://mculocationscout.com/2020/09/16/sanctum-sanctorum-new-york-mcu-location-scout-2/, https://www.youtube.com/watch?v=V5mS7BHmZJI&t=34s","MCU Location Scout, Youtube","""While the scene appears to show a continuous shot of the characters exiting 177A Bleecker Street in New York and heading up Thompson St, the scene was actually filmed at the Atlanta Pinewood Studios, in Fayetteville, GA. "" - MCU Location Scout"
A3-6A,Peter Parker wird auf das Raumschiff aufmerksam und macht sich als Spiderman auf den Weg dahin.,"Trilith Studios,
461 Sandy Creek Road
Fayetteville, Georgia 30214","Amerikanisches Film- und Fernsehproduktionsstudio südlich von Atlanta in Fayette County, Georgia. Ehemals Pinewood Atlanta Studios.",33.47312809304286,-84.51253281451417,Ed Koch Queensboro Bridge,40.756788468079115,-73.9542239020659,00:18:14,2018,Peter Parker/ Peter Parker als Spider-Man,https://mculocationscout.com/2020/09/16/queensboro-bridge-new-york-mcu-location-scout/,MCU Location Scout,"Hintergrundbilder wurden auf der Ed Koch Queensboro Bridge gedreht. Keine Gewähr auf Richtigkeit, dass dies in den Trilith Studios gedreht wurde."
A3-6B,Peter Parker wird auf das Raumschiff aufmerksam und macht sich als Spiderman auf den Weg dahin.,Ed Koch Queensboro Bridge,null,40.756788468079115,-73.9542239020659,Ed Koch Queensboro Bridge,40.756788468079115,-73.9542239020659,00:18:14,2018,Peter Parker/ Peter Parker als Spider-Man,https://mculocationscout.com/2020/09/16/queensboro-bridge-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbild
A3-7,"Ebony Maw und ein weiterer Außerirdischer kommen aus dem Raumschiff, um sich den Zeitstein von Strange zu holen. Banner schafft es nicht, sich in Hulk zu verwandeln und wird deshalb von Strange durch ein Portal weg vom Geschehen hingebracht.","84 Walton Street NW, Atlanta, GA 30303",null,33.756539179710494,-84.39116951710628,"Thompson Street, New York",40.72612172816812,-74.00161128329653,00:18:57,2018,Tony Stark/ Stephen Strange als Dr. Strange/ Wong/ Bruce Banner/ Ebony Maw/ Cull Obsidian/ Tony Stark als Iron Man,"https://www.imdb.com/title/tt4154756/locations, https://mculocationscout.com/2020/09/16/thompson-street-new-york-mcu-location-scout/","IMDb, MCU Location Scout","""Walton Street between Forsyth and Cone, in Atlanta, GA, is the location of this destruction."" - MCU Location Scout"
A3-8A,Bruce Banner fällt durch den von Dr. Strange erzeugten Portal und landet im Washington Square Park.,"Woodruff Park, 91 Peachtree St, Atlanta, GA 30303",Park in Downtown Atlanta,33.755199487488284,-84.38862258625718,"Washington Square Park,
Washington Square, New York, NY 10012, United States",40.73102199134093,-73.99731054439424,00:21:28,2018,Bruce Banner,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbilder wurden im Washington Square Park gedreht. 
A3-8B,Bruce Banner fällt durch den von Dr. Strange erzeugten Portal und landet im Washington Square Park.,"Washington Square Park,
Washington Square, New York, NY 10012, United States",null,40.73102199134093,-73.99731054439424,"Washington Square Park,
Washington Square, New York, NY 10012, United States",40.73102199134093,-73.99731054439424,00:21:28,2018,Bruce Banner,https://mculocationscout.com/2020/09/16/washington-square-park-new-york-mcu-location-scout/,MCU Location Scout,Hintergrundbild
